,Attribute,Sample Value,Data Type
0,requestId,ec55cca0-9342-11e7-bddf-ebd4476c3102,<class 'str'>
1,success,True,<class 'bool'>
2,comments,testing,<class 'str'>
3,results_businessHeader_bin,800914632,<class 'str'>
4,results_businessHeader_businessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
5,results_businessHeader_address_street,535 ANTON BLVD,<class 'str'>
6,results_businessHeader_address_city,Costa Mesa,<class 'str'>
7,results_businessHeader_address_state,CA,<class 'str'>
8,results_businessHeader_address_zip,92626,<class 'str'>
9,results_businessHeader_address_zipExtension,1947,<class 'str'>
10,results_businessHeader_phone,+19495673800,<class 'str'>
11,results_businessHeader_taxId,176970333,<class 'str'>
12,results_businessHeader_websiteUrl,consumerinfo.com,<class 'str'>
13,results_businessHeader_legalBusinessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
14,results_businessHeader_dbaNames_0,EXPERIAN CONSUMER DIRECT,<class 'str'>
15,results_businessHeader_customerDisputeIndicator,True,<class 'bool'>
16,results_businessHeader_foreignCountry,True,<class 'bool'>
17,results_businessHeader_corporateLinkageIndicator,True,<class 'bool'>
18,results_businessHeader_matchingBranchAddress_bin,800914632,<class 'str'>
19,results_businessHeader_matchingBranchAddress_street,475 ANTON BLVD,<class 'str'>
20,results_businessHeader_matchingBranchAddress_city,Costa Mesa,<class 'str'>
21,results_businessHeader_matchingBranchAddress_state,CA,<class 'str'>
22,results_businessHeader_matchingBranchAddress_zip,92626,<class 'str'>
23,results_businessHeader_matchingBranchAddress_zipExtension,1947,<class 'str'>
24,results_businessHeader_branchLocation_bin,800914632,<class 'str'>
25,results_businessHeader_branchLocation_locationId,475 ANTON BLVD,<class 'str'>
26,results_individualOwnersAndPrincipals_0_dateReported,2014-12-27,<class 'str'>
27,results_individualOwnersAndPrincipals_0_currentOwnerIndicator,True,<class 'bool'>
28,results_individualOwnersAndPrincipals_0_firstName,John,<class 'str'>
29,results_individualOwnersAndPrincipals_0_middleName,Davison,<class 'str'>
30,results_individualOwnersAndPrincipals_0_lastName,Rockefeller,<class 'str'>
31,results_individualOwnersAndPrincipals_0_generationCode,JR,<class 'str'>
32,results_individualOwnersAndPrincipals_0_emailAddress,john.doe@genericcompany.com,<class 'str'>
33,results_individualOwnersAndPrincipals_0_ownerIsGuarantorIndicator,True,<class 'bool'>
34,results_individualOwnersAndPrincipals_0_address_street,535 ANTON BLVD,<class 'str'>
35,results_individualOwnersAndPrincipals_0_address_city,Costa Mesa,<class 'str'>
36,results_individualOwnersAndPrincipals_0_address_state,CA,<class 'str'>
37,results_individualOwnersAndPrincipals_0_address_zip,92626,<class 'str'>
38,results_individualOwnersAndPrincipals_0_address_zipExtension,1947,<class 'str'>
39,results_individualOwnersAndPrincipals_0_percentOfFinancialObligation,58,<class 'int'>
40,results_individualOwnersAndPrincipals_0_nameAddressChangeIndicator,True,<class 'bool'>
41,results_companyOwnersAndPrincipals_0_dateReported,2014-12-27,<class 'str'>
42,results_companyOwnersAndPrincipals_0_currentOwnerIndicator,True,<class 'bool'>
43,results_companyOwnersAndPrincipals_0_businessName,Bob Inc,<class 'str'>
44,results_companyOwnersAndPrincipals_0_taxId,XXXXX4185,<class 'str'>
