,Attribute,Sample Value,Data Type
0,requestId,ec55cca0-9342-11e7-bddf-ebd4476c3102,<class 'str'>
1,success,True,<class 'bool'>
2,comments,testing,<class 'str'>
3,results_businessHeader_bin,800914632,<class 'str'>
4,results_businessHeader_businessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
5,results_businessHeader_address_street,535 ANTON BLVD,<class 'str'>
6,results_businessHeader_address_city,Costa Mesa,<class 'str'>
7,results_businessHeader_address_state,CA,<class 'str'>
8,results_businessHeader_address_zip,92626,<class 'str'>
9,results_businessHeader_address_zipExtension,1947,<class 'str'>
10,results_businessHeader_phone,+19495673800,<class 'str'>
11,results_businessHeader_taxId,176970333,<class 'str'>
12,results_businessHeader_websiteUrl,consumerinfo.com,<class 'str'>
13,results_businessHeader_legalBusinessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
14,results_businessHeader_dbaNames_0,EXPERIAN CONSUMER DIRECT,<class 'str'>
15,results_businessHeader_customerDisputeIndicator,True,<class 'bool'>
16,results_businessHeader_foreignCountry,True,<class 'bool'>
17,results_businessHeader_corporateLinkageIndicator,True,<class 'bool'>
18,results_businessHeader_matchingBranchAddress_bin,800914632,<class 'str'>
19,results_businessHeader_matchingBranchAddress_street,475 ANTON BLVD,<class 'str'>
20,results_businessHeader_matchingBranchAddress_city,Costa Mesa,<class 'str'>
21,results_businessHeader_matchingBranchAddress_state,CA,<class 'str'>
22,results_businessHeader_matchingBranchAddress_zip,92626,<class 'str'>
23,results_businessHeader_matchingBranchAddress_zipExtension,1947,<class 'str'>
24,results_businessHeader_branchLocation_bin,800914632,<class 'str'>
25,results_businessHeader_branchLocation_locationId,475 ANTON BLVD,<class 'str'>
26,results_corporateLinkagePartial_0_corporateLinkageType,Ultimate Parent,<class 'str'>
27,results_corporateLinkagePartial_0_bin,800914632,<class 'str'>
28,results_corporateLinkagePartial_0_businessName,EXPERIAN PLC,<class 'str'>
29,results_corporateLinkagePartial_0_address_street,475 Anton Blvd,<class 'str'>
30,results_corporateLinkagePartial_0_address_city,Costa Mesa,<class 'str'>
31,results_corporateLinkagePartial_0_address_state,CA,<class 'str'>
32,results_corporateLinkagePartial_0_address_country,USA,<class 'str'>
33,results_corporateLinkagePartial_0_matchingBusinessIndicator,True,<class 'bool'>
34,results_corporateLinkagePartial_0_returnLimitExceeded,True,<class 'bool'>
35,results_corporateLinkageFull_0_corporateLinkageType,Ultimate Parent,<class 'str'>
36,results_corporateLinkageFull_0_bin,800914632,<class 'str'>
37,results_corporateLinkageFull_0_businessName,EXPERIAN PLC,<class 'str'>
38,results_corporateLinkageFull_0_address_street,475 Anton Blvd,<class 'str'>
39,results_corporateLinkageFull_0_address_city,Costa Mesa,<class 'str'>
40,results_corporateLinkageFull_0_address_state,CA,<class 'str'>
41,results_corporateLinkageFull_0_address_country,USA,<class 'str'>
42,results_corporateLinkageFull_0_ultimateBin,800914632,<class 'str'>
43,results_corporateLinkageFull_0_parentBin,800914632,<class 'str'>
44,results_corporateLinkageFull_0_ultimateParentIndicator,True,<class 'bool'>
45,results_corporateLinkageFull_0_parentIndicator,True,<class 'bool'>
46,results_corporateLinkageFull_0_subsidiaryIndicator,True,<class 'bool'>
47,results_corporateLinkageFull_0_linkageLevel,1,<class 'int'>
48,results_corporateLinkageFull_0_branchIndicator,True,<class 'bool'>
49,results_corporateLinkageFull_0_activityIndicator,True,<class 'bool'>
50,results_corporateLinkageFull_0_commercialRiskClass,High Risk,<class 'str'>
51,results_corporateLinkageIndicator,True,<class 'bool'>
