,Attribute,Sample Value,Data Type
0,requestId,ec55cca0-9342-11e7-bddf-ebd4476c3102,<class 'str'>
1,success,True,<class 'bool'>
2,results_businessHeader_bin,800914632,<class 'str'>
3,results_businessHeader_businessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
4,results_businessHeader_address_street,535 ANTON BLVD,<class 'str'>
5,results_businessHeader_address_city,Costa Mesa,<class 'str'>
6,results_businessHeader_address_state,CA,<class 'str'>
7,results_businessHeader_address_zip,92626,<class 'str'>
8,results_businessHeader_address_zipExtension,1947,<class 'str'>
9,results_businessHeader_phone,+19495673800,<class 'str'>
10,results_businessHeader_taxId,176970333,<class 'str'>
11,results_businessHeader_websiteUrl,consumerinfo.com,<class 'str'>
12,results_businessHeader_legalBusinessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
13,results_businessHeader_dbaNames_0,EXPERIAN CONSUMER DIRECT,<class 'str'>
14,results_businessHeader_customerDisputeIndicator,True,<class 'bool'>
15,results_businessHeader_foreignCountry,True,<class 'bool'>
16,results_businessHeader_corporateLinkageIndicator,True,<class 'bool'>
17,results_businessHeader_matchingBranchAddress_bin,800914632,<class 'str'>
18,results_businessHeader_matchingBranchAddress_street,475 ANTON BLVD,<class 'str'>
19,results_businessHeader_matchingBranchAddress_city,Costa Mesa,<class 'str'>
20,results_businessHeader_matchingBranchAddress_state,CA,<class 'str'>
21,results_businessHeader_matchingBranchAddress_zip,92626,<class 'str'>
22,results_businessHeader_matchingBranchAddress_zipExtension,1947,<class 'str'>
23,results_businessHeader_branchLocation_bin,800914632,<class 'str'>
24,results_businessHeader_branchLocation_locationId,475 ANTON BLVD,<class 'str'>
25,results_bankruptcyDetail_0,{},<class 'dict'>
26,results_bankruptcySummary,{},<class 'dict'>
27,results_collectionsDetail_0,{},<class 'dict'>
28,results_collectionsSummary,{},<class 'dict'>
29,results_businessContacts,{},<class 'dict'>
30,results_corporateLinkageFull,{},<class 'dict'>
31,results_corporateLinkagePartial,{},<class 'dict'>
32,results_corporateRegistration,{},<class 'dict'>
33,results_creditStatus,{},<class 'dict'>
34,results_businessFacts,{},<class 'dict'>
35,results_fraudShield,{},<class 'dict'>
36,results_header,{},<class 'dict'>
37,results_judgmentDetail_0,{},<class 'dict'>
38,results_judgmentSummary,{},<class 'dict'>
39,results_legalFilingsCollectionsSummary,{},<class 'dict'>
40,results_legalFilingsSummary,{},<class 'dict'>
41,results_lienDetail,{},<class 'dict'>
42,results_lienSummary,{},<class 'dict'>
43,results_reverseAddress,{},<class 'dict'>
44,results_reversePhone,{},<class 'dict'>
45,results_reverseTaxId,{},<class 'dict'>
46,results_riskDashboard,{},<class 'dict'>
47,results_commercialScore,{},<class 'dict'>
48,results_fsrScore,{},<class 'dict'>
49,results_tradePaymentSummary,{},<class 'dict'>
50,results_tradePaymentTotals,{},<class 'dict'>
51,results_tradePaymentTrends,{},<class 'dict'>
52,results_tradePaymentExperiences,{},<class 'dict'>
53,results_uccFilingsDetail,{},<class 'dict'>
54,results_uccFilingsSummary,{},<class 'dict'>
