,Attribute,Sample Value,Data Type
0,requestId,7f5c8020-af81-11e7-8119-d7f9efdbf791,<class 'str'>
1,success,True,<class 'bool'>
2,reversePhones_0_sequenceNumber,1,<class 'int'>
3,reversePhones_0_bin,800914632,<class 'str'>
4,reversePhones_0_businessName,"IDC, CORP",<class 'str'>
5,reversePhones_0_address_street,535 ANTON BLVD,<class 'str'>
6,reversePhones_0_address_city,Costa Mesa,<class 'str'>
7,reversePhones_0_address_state,CA,<class 'str'>
8,reversePhones_0_address_zip,92626,<class 'str'>
9,reversePhones_0_address_zipExtension,1947,<class 'str'>
10,reversePhones_0_binEstablishDate,1988-09-27,<class 'str'>
11,reversePhones_0_binActivityCode,A,<class 'str'>
12,reversePhones_0_binDateLastReported,2006-09-26,<class 'str'>
