,Attribute,Sample Value,Data Type
0,requestId,ec55cca0-9342-11e7-bddf-ebd4476c3102,<class 'str'>
1,success,True,<class 'bool'>
2,comments,testing,<class 'str'>
3,results_businessHeader_bin,800914632,<class 'str'>
4,results_businessHeader_businessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
5,results_businessHeader_address_street,535 ANTON BLVD,<class 'str'>
6,results_businessHeader_address_city,Costa Mesa,<class 'str'>
7,results_businessHeader_address_state,CA,<class 'str'>
8,results_businessHeader_address_zip,92626,<class 'str'>
9,results_businessHeader_address_zipExtension,1947,<class 'str'>
10,results_businessHeader_phone,+19495673800,<class 'str'>
11,results_businessHeader_taxId,176970333,<class 'str'>
12,results_businessHeader_websiteUrl,consumerinfo.com,<class 'str'>
13,results_businessHeader_legalBusinessName,EXPERIAN CONSUMER DIRECT,<class 'str'>
14,results_businessHeader_dbaNames_0,EXPERIAN CONSUMER DIRECT,<class 'str'>
15,results_businessHeader_customerDisputeIndicator,True,<class 'bool'>
16,results_businessHeader_foreignCountry,True,<class 'bool'>
17,results_businessHeader_corporateLinkageIndicator,True,<class 'bool'>
18,results_businessHeader_matchingBranchAddress_bin,800914632,<class 'str'>
19,results_businessHeader_matchingBranchAddress_street,475 ANTON BLVD,<class 'str'>
20,results_businessHeader_matchingBranchAddress_city,Costa Mesa,<class 'str'>
21,results_businessHeader_matchingBranchAddress_state,CA,<class 'str'>
22,results_businessHeader_matchingBranchAddress_zip,92626,<class 'str'>
23,results_businessHeader_matchingBranchAddress_zipExtension,1947,<class 'str'>
24,results_businessHeader_branchLocation_bin,800914632,<class 'str'>
25,results_businessHeader_branchLocation_locationId,475 ANTON BLVD,<class 'str'>
26,results_uccFilingsSummary_uccFilingsCount,15,<class 'int'>
27,results_uccFilingsSummary_uccFilingsTrends_0_date,2017-08-31,<class 'str'>
28,results_uccFilingsSummary_uccFilingsTrends_0_count,15,<class 'int'>
29,results_uccFilingsSummary_uccFilingsTrends_0_derogatoryCount,10,<class 'int'>
30,results_uccFilingsSummary_uccFilingsTrends_0_releasesAndTerminationsCount,95,<class 'int'>
31,results_uccFilingsSummary_uccFilingsTrends_0_continuationsCount,3,<class 'int'>
32,results_uccFilingsSummary_uccFilingsTrends_0_amendedAndAssignedCount,3,<class 'int'>
33,results_uccFilingsSummary_uccFilingsTrends_0_uccFilingsCount,3,<class 'int'>
34,results_uccFilingsDetail_0_dateFiled,2017-08-31,<class 'str'>
35,results_uccFilingsDetail_0_legalType,UCC,<class 'str'>
36,results_uccFilingsDetail_0_legalAction,Assignment,<class 'str'>
37,results_uccFilingsDetail_0_documentNumber,A123123,<class 'str'>
38,results_uccFilingsDetail_0_filingLocation,CA,<class 'str'>
39,results_uccFilingsDetail_0_collateralCodes_0_code,9,<class 'str'>
40,results_uccFilingsDetail_0_collateralCodes_0_definition,Hereafter Acquired Property,<class 'str'>
41,results_uccFilingsDetail_0_securedParty,STAGE COACH DIST INC AZ,<class 'str'>
42,results_uccFilingsDetail_0_assignee,COYOTE GREETINGS INC AZe,<class 'str'>
43,results_uccFilingsDetail_0_owner,COYOTE GREETINGS INC AZe,<class 'str'>
44,results_uccFilingsDetail_0_customerDisputeIndicator,True,<class 'bool'>
45,results_uccFilingsDetail_0_originalUCCFilingsInfo_legalAction,TERMINATED,<class 'str'>
46,results_uccFilingsDetail_0_originalUCCFilingsInfo_filingState,MA,<class 'str'>
47,results_uccFilingsDetail_0_originalUCCFilingsInfo_documentNumber,123,<class 'str'>
48,results_uccFilingsDetail_0_originalUCCFilingsInfo_dateFiled,2001-01-01,<class 'str'>
49,results_uccFilingIndicator,True,<class 'bool'>
